,minimum_nights,reviews_per_month,roomtype_Shared room,availability_365,number_of_reviews,price,calculated_host_listings_count
Stuyvesant Town/Turtle Bay,655.9220922607268,1.624298029566397,0.02491039629148058,20509.208740460173,1018.2944338289333,41484.222106959125,4916.884566114535
Hillcrest/Fresh Meadows,3.253716301335349,3.9670817397329294,0.02324263038548752,18448.178130511464,827.4243512219701,11721.063807004282,14.460065507684556
Financial District,1650.1403509486493,1.7074064670836724,0.01097669133197771,21855.401943424215,710.7432543751482,228337.48579394165,18475.60705481523
Bay Ridge/Dyker Heights,742.1125878328401,2.0854068417159763,0.045765532544378686,17572.139954696744,900.8578957100592,99936.78688979291,2.9156573594674557
Flushing/Whitestone,39.72103221453871,3.5667089358332866,0.029384756657483944,17826.238568430126,2399.3770965686545,12078.616611382844,11.803320777346752
Borough Park,830.4306613868754,1.7155892102025412,0.060173075133631806,18305.46814032113,873.3274883427591,3943.83469980666,12.827969107019157
Coney Island,99.08214708307933,2.2804272293735877,0.12729032952059954,18113.78945103804,1160.4816952920505,73535.2189752232,7.522033776757862
Morrisania/Crotona,514.5306122448981,2.707817570153061,0.050701530612244895,14827.122130102041,822.265306122449,3619.838966836734,2.8721301020408165
Fort Greene/Brooklyn Heights,411.96113279634767,1.4452930280055676,0.012038769280648563,14681.583043850167,2010.38796353479,93589.66707577636,54.76359041687633
Jamaica/Hollis,7.62178164963964,12.071606809192168,0.01931616879807809,17070.241676575504,7120.441414496834,6892.787770875294,10.038535271421292
Woodside/Sunnyside,538.7331219313397,2.3826689106328476,0.03400027169166876,18048.2137871878,1637.1509278270487,9685.436686914165,469.16663626307513
Crown Heights/Prospect Heights,135.64282183461623,2.281455011808645,0.0,12769.073292061925,2848.467057411199,82254.08809798428,8.121366193536238
Brownsville,4.712174146734748,1.7485864552539645,0.0,15809.367911851654,1481.5372211771028,2102.445041655469,5.388336468691209
Greenwich Village/Soho,1716.873536808472,1.359291371305625,0.007056095235641218,14531.329037079027,1283.0888971630293,118104.92132469272,567.2072480610169
Fordham/University Heights,253.652072945837,1.897321426132095,0.04712792842018986,18868.324294788606,1181.727067823236,2024.258862099583,8.511303872686291
Mott Haven/Melrose,20.286192033293695,2.732804302913199,0.1189060642092747,16496.673602853745,2736.4464922711054,3133.280246730084,4.877229488703924
East Flatbush,129.91032124528803,2.1679125726440565,0.038531290957401515,18593.04139050055,1538.5281985865493,55427.131928689254,25.019092962906665
Kew Gardens/Woodhaven,189.38521030205004,4.223830044088308,0.04374348322263363,18467.278823654982,3222.011953924844,74831.50445398642,4.522869270367238
Washington Heights/Inwood,359.61629708914785,1.846127532814362,0.026207709686209474,15412.33222650043,1328.7034913168088,4346.161038525786,17.090264877517455
Bedford Stuyvesant,161.2550978715359,2.5099232389691717,0.022362589674372442,16827.685295403815,2453.7853756862874,27480.045369454503,21.221532346860865
Astoria,201.76016517968014,2.19194154032241,0.021833765370145745,17356.87470248296,1939.1157099257637,92203.7977917206,79.65556506515443
Jackson Heights,49.05919021221875,11.013326723868616,0.05100224497061195,16900.12590725147,8796.802159240342,3239.435022994602,123.9414999891021
Sheepshead Bay,223.15910627366137,3.1064260140616557,0.09826257436452136,19479.069328015146,1109.415190643591,28827.965758518116,5.246755002704164
Flatbush/Midwood,1210.4270684285839,0.9735018096119857,0.06009595151923241,14879.617708947057,855.5443144516454,1626.1508290547938,0.6684622506523021
Tottenville/Great Kills,84.93753718024986,1.299728970850684,0.0,17163.145746579416,1311.7620464009517,42923.2742415229,0.5913146936347413
Rockaway/Broad Channel,41.383217993079576,2.1078680771818528,0.009707804690503651,16175.033520761248,1033.1331218762014,24663.950980392157,65.75941945405613
South Ozone Park/Howard Beach,12.576525127653856,7.2076663329750055,0.08203439935501208,18407.069604944903,2761.6039371136794,3125.738309594195,3.479776941682342
Bushwick,193.9840746516134,2.342192979753054,0.026825208085612368,15942.477833852432,1769.4107153701518,5665.324867989582,40.505977642368414
Bensonhurst,46.575614366729695,2.1805279773156894,0.021266540642722116,17330.397329867676,1667.4130434782608,1214.35775047259,2.448960302457467
Sunset Park,502.93459955022075,1.906275266920663,0.007168085078653445,14525.146415740248,2275.099358347778,16039.316662829207,2.9785029852540177
Rego Park/Forest Hills,758.917056,1.7819320399999998,0.056400000000000006,17257.292736000003,1151.2192640000003,27357.859599999996,4.363599999999999
Belmont/East Tremont,22.350620891161437,2.406058582907231,0.09642074506939373,21246.16508400292,287.9488677867057,3652.807888970052,0.5054784514243974
South Beach/Willowbrook,21.44910000000001,2.5442708400000003,0.0384,17399.0075,431.4724,6928.441599999999,6.1675
Midtown,553.2273838804516,4.601718607792339,0.012897693690158592,20785.462782092647,1056.8724437221979,67874.98133905933,3270.2055050745043
Upper East Side,245.99023788636737,1.7998806595141554,0.02545684798707253,18107.307960829054,1264.0680400048996,82158.16250815082,943.0680969214341
Elmhurst/Corona,95.52263220052755,2.6844977119457845,0.09500998885222017,18174.245670577588,1233.4038255648393,3639.7032262337057,365.87589540954286
Clinton/Chelsea,418.9138566993824,3.0514934592268235,0.035743456104156475,18720.887169507583,2190.712875916879,63666.03250606164,1924.9849336886562
East New York/Starrett City,173.5757932833936,2.9759552815419577,0.02240972982072217,14477.661497348707,1636.3531899671748,2656.391402238869,15.023651207810792
Queens Village,30.252673242044114,7.736716237351977,0.016661878770468257,17762.529605158164,1449.7449647291648,2880.4701714066837,1.2094864183344505
Flatlands/Canarsie,6.690943294813222,4.0250276723327065,0.012143912926632621,17237.49912657888,1676.4863443966676,17744.039975812953,1.7826357162053215
Park Slope/Carroll Gardens,415.9310227469618,1.856075525702059,0.004950372515531795,14718.78757951536,2422.639538625282,24918.125689958168,5.809045568179005
Kingsbridge Heights/Bedford,55.66277815900403,2.522704656406235,0.038035486716988524,19169.710812665424,829.9096167042444,2521.148906969905,13.158513871189099
Upper West Side,289.8549701261905,1.756776114286273,0.019882409601834416,16341.287174430046,1589.562316192606,156102.5975894509,632.0619536295051
Highbridge/Concourse,28.156068052930056,2.0772818903591683,0.017088846880907373,17306.97693761815,3015.1127410207937,1863.1277126654065,0.9433648393194705
East Harlem,529.3428973115215,2.2555707250313586,0.024280619271084602,15418.71981783255,2640.064687408447,46466.66344767335,51.2957396605412
Greenpoint/Williamsburg,450.73286423042674,1.6995150826991596,0.00963716743470976,13029.364190251163,1816.0674371356808,36341.69769247837,46.02234669133345
Riverdale/Fieldston,3249.2444814660553,1.1538161599333612,0.03915035401915868,19008.620574760516,1395.3919200333194,131817.09870887134,0.6147438567263642
Williamsbridge/Baychester,92.02562486872507,3.541406138416299,0.03491913463558076,19777.222064692294,1901.7773576979628,6275.40054610376,11.109483301827348
Throgs Neck/Co-op City,1.9101557782876464,4.106708682526264,0.03188020770438354,16533.40828402367,2222.491486535443,18706.46298756189,3.2626494384736144
Morningside Heights/Hamilton,73.33018142938286,2.0347630558989613,0.011427044004143135,8323.369816899996,776.8020732400014,8002.736250793545,1.2092285074676736
Hunts Point/Longwood,62.911093749999985,2.9093784374999996,0.012343750000000002,21417.72359375,1316.3435937499999,6480.215,2.1623437500000007
Parkchester/Soundview,98.73511904761905,2.7180095238095237,0.08616780045351473,16124.677295918364,920.3361678004535,4299.4607426303855,4.654620181405894
Bayside/Little Neck,24.65976331360946,4.028137869822486,0.01886094674556213,13642.90976331361,720.0517751479291,123030.78254437869,2.3476331360946747
Lower East Side/Chinatown,221.45216806319385,2.042686481506076,0.01897451463636967,13803.526388628967,2433.13886704719,88906.83890938069,267.26920325507547
South Crown Heights/Lefferts Gardens,223.50296484112647,2.1472371066237446,0.017316714940143692,15343.564593135276,1740.7811900719073,16845.907978594583,4.061347754925836
Morris Park/Bronxdale,13.704347826086957,2.6082966654064275,0.04945179584120984,15949.204536862004,2117.070396975425,5906.821625708886,2.3836672967863897
St. George/Stapleton,601.1873840445269,3.2027671445437678,0.021176514683008185,17037.355596784168,2693.214932253893,110879.64314761717,2.748899008639268
Ridgewood/Maspeth,141.335616510091,2.703104899665902,0.02059310229260272,17112.70923010861,1343.5952074234663,2696.9454760633002,68.43623338674709
